,count,mean,std,min,0.25,0.5,0.75,max,Comments
passenger_count,2276461,1.472616,1.039033,1,1,1,2,7,Number of passengers associated with trip
trip_distance,2276461,2.017087,1.671309,0.01,1.02,1.61,2.52,99.9,Units are in miles.
fare_amount,2276461,9.89887,5.098086,0,6.5,8.5,12,300,
extra,2276461,1.023657,1.194539,0,0,0.5,2.5,45.5,
mta_tax,2276461,0.499439,0.016732,0,0.5,0.5,0.5,0.5,
tip_amount,2276461,1.966696,1.719994,0,0.8,2,2.86,350,
tolls_amount,2276461,0.004197,0.174592,0,0,0,0,26.2,
improvement_surcharge,2276461,0.299985,0.002114,0,0.3,0.3,0.3,0.3,
total_amount,2276461,15.430903,6.083246,0.3,11.3,14.16,17.9,357.3,
congestion_surcharge,2276461,2.434673,0.39881,0,2.5,2.5,2.5,2.75,
airport_fee,2276461,0.00013,0.012754,0,0,0,0,1.25,
tip_pct,2276461,0.120488,0.078651,0,0.04796,0.166102,0.166667,0.994,
PU_day_in_june_2021,2276461,15.618449,8.649097,1,8,16,23,30,"Day in June (1 = 6/1/2021, 2 = 6/2/2021, etc.)"
PU_time_hour,2276461,14.276908,5.276815,0,11,15,18,23,"Hour (24 hr format, ET)"
PU_time_min,2276461,29.644349,17.330066,0,15,30,45,59,Minute
DO_day_in_june_2021,2276461,15.624624,8.649838,1,8,16,23,31,"Day in June (1 = 6/1/2021, 2 = 6/2/2021, etc.)"
DO_time_hour,2276461,14.363447,5.337169,0,11,15,18,23,"Hour (24 hr format, ET)"
DO_time_min,2276461,29.605963,17.432467,0,14,30,45,59,Minute
avg_temp,2276461,74.927765,7.183517,64.8,68.6,72.9,81.2,89.7,Units are in Fahrenheit.
avg_dew_pt,2276461,58.427472,8.385969,37.8,52.5,59.8,67.1,68.7,Units are in Fahrenheit.
avg_humidity,2276461,59.119358,12.556645,30.3,51.3,57.6,69.1,83.9,Units are in percentage.
avg_wind_speed,2276461,9.277435,1.977477,5.1,8,9.5,10.7,12.9,Units are in mph.
avg_pressure,2276461,29.971296,0.171115,29.7,29.9,29.9,30.1,30.3,Units are in inches (inHg?)
total_precipitation,2276461,0.064172,0.156249,0,0,0,0,0.67,Units are in inches.
VendorID_1,2276461,0.28608,0.451927,0,0,0,1,1,"1=Creative Mobile Technologies, LLC"
VendorID_2,2276461,0.71392,0.451927,0,0,1,1,1,2=VeriFone Inc.
PULocationID_4,2276461,0.001101,0.033161,0,0,0,0,1,Alphabet City
PULocationID_12,2276461,0.000385,0.019624,0,0,0,0,1,Battery Park
PULocationID_13,2276461,0.005861,0.076334,0,0,0,0,1,Battery Park City
PULocationID_24,2276461,0.004241,0.064987,0,0,0,0,1,Bloomingdale
PULocationID_41,2276461,0.004904,0.069857,0,0,0,0,1,Central Harlem
PULocationID_42,2276461,0.001746,0.04175,0,0,0,0,1,Central Harlem North
PULocationID_43,2276461,0.021233,0.14416,0,0,0,0,1,Central Park
PULocationID_45,2276461,0.001236,0.035131,0,0,0,0,1,Chinatown
PULocationID_48,2276461,0.028865,0.167426,0,0,0,0,1,Clinton East
PULocationID_50,2276461,0.007791,0.087922,0,0,0,0,1,Clinton West
PULocationID_68,2276461,0.024319,0.154039,0,0,0,0,1,East Chelsea
